"control" "debarked" "scratched"
"Acanthocinus_griseus" 6 0 0
"Aderus_populneus" 2 0 0
"Ampedus_nigrinus" 0 0 1
"Anaspis_frontalis" 1 0 1
"Anaspis_rufilabris" 0 0 1
"Anaspis_thoracica" 0 1 0
"Anastrangalia_dubia" 0 1 0
"Anisotoma_castanea" 0 0 1
"Anisotoma_humeralis" 0 0 1
"Anthaxia_helvetica" 1 0 4
"Anthaxia_quadripunctata" 0 1 0
"Anthribus_albinus" 1 0 4
"Arhopalus_rusticus" 0 0 1
"Atheta_picipes" 38 10 30
"Atomaria_turgida" 1 0 0
"Bibloporus_bicolor" 2 1 0
"Bitoma_crenata" 4 0 3
"Callidium_violaceum" 0 0 2
"Cerylon_ferrugineum" 2 0 3
"Cis_dentatus" 1 0 0
"Corticaria_abietorum" 1 0 0
"Corticaria_interstitialis" 18 2 4
"Corticaria_lateritia" 0 0 1
"Corticaria_longicollis" 0 1 1
"Corticeus_linearis" 10 0 3
"Corymbia_rubra" 0 0 1
"Cryphalus_abietis" 0 1 0
"Cryptophagus_cylindrus" 1 2 1
"Crypturgus_hispidulus" 5 0 7
"Crypturgus_pusillus" 1188 38 180
"Crypturgus_subcribrosus" 279 35 433
"Curtimorda_maculosa" 0 0 5
"Platysoma_angustatum" 0 0 1
"Dasytes_plumbeus" 0 0 1
"Diacanthous_undulatus" 3 0 4
"Dinaraea_aequata" 0 1 0
"Dryocoetes_autographus" 374 342 222
"Dryocoetes_hectographus" 127 22 307
"Epuraea_angustula" 47 19 108
"Epuraea_binotata" 4 1 1
"Epuraea_boreella" 1 2 3
"Epuraea_deubeli" 150 294 1353
"Epuraea_laeviuscula" 15 0 37
"Epuraea_marseuli" 166 46 134
"Epuraea_pygmaea" 181 74 365
"Epuraea_silacea" 2 0 8
"Epuraea_terminalis" 0 0 3
"Epuraea_thoracica" 43 7 194
"Euryusa_castanoptera" 2 0 0
"Gabrius_splendidulus" 0 0 5
"Glischrochilus_quadripunctatus" 49 8 68
"Gnathotrichus_materiarius" 16 8 21
"Gyrophaena_boleti" 0 0 1
"Hadreule_elongatulum" 3 1 1
"Homalota_plana" 0 1 2
"Hylastes_brunneus" 0 0 1
"Hylastes_cunicularius" 0 10 3
"Hylecoetus_dermestoides" 11 28 27
"Hylobius_abietis" 14 26 16
"Hylurgops_palliatus" 270 3 12
"Ips_typographus" 1616 52 199
"Leptusa_pulchella" 15 3 3
"Litargus_connexus" 1 0 0
"Malthodes_mysticus" 0 1 0
"Melanotus_castanipes" 2 1 15
"Micrambe_abietis" 0 1 0
"Microscydmus_minimus" 1 0 0
"Monochamus_sutor" 10 0 1
"Nemosoma_elongatum" 2 0 1
"Nudobius_lentus" 9 3 15
"Orthoperus_atomus" 3 0 1
"Orthoperus_punctatus" 1 0 1
"Orthotomicus_laricis" 128 1 129
"Phloeocharis_subtilissima" 1 0 0
"Phloeonomus_pusillus" 177 56 267
"Phloeopora_bernhaueri" 2 0 2
"Phloeopora_testacea" 0 1 0
"Phloeostiba_lapponicus" 58 4 54
"Phyllodrepa_linearis" 0 0 1
"Pissodes_harcyniae" 5 0 0
"Pityogenes_bidentatus" 1 0 0
"Pityogenes_chalcographus" 170 6 86
"Pityogenes_quadridens" 0 0 1
"Pityophagus_ferrugineus" 26 38 143
"Placusa_atrata" 3 0 0
"Placusa_complanata" 51 11 42
"Placusa_depressa" 37 0 24
"Placusa_incompleta" 202 28 104
"Placusa_tachyporoides" 11 17 43
"Plectophloeus_fischeri" 0 1 0
"Plegaderus_vulneratus" 275 25 222
"Pogonocherus_fasciculatus" 1 0 0
"Polygraphus_poligraphus" 0 1 0
"Pteryngium_crenatum" 2 2 6
"Pytho_depressus" 1 0 0
"Quedius_plagiatus" 3 1 2
"Rabocerus_foveolatus" 0 1 0
"Rhagium_inquisitor" 3 0 0
"Rhizophagus_bipustulatus" 0 2 1
"Rhizophagus_cribratus" 0 0 1
"Rhizophagus_depressus" 239 76 103
"Rhizophagus_dispar" 88 125 191
"Rhizophagus_ferrugineus" 0 19 25
"Rhizophagus_nitidulus" 93 48 378
"Rhizophagus_parallelocollis" 2 0 1
"Rhyncolus_ater" 0 2 0
"Salpingus_ruficollis" 1 0 0
"Scaphisoma_agaricinum" 0 0 1
"Serropalpus_barbatus" 1 0 0
"Silvanus_bidentatus" 2 0 1
"Tachyta_nana" 1 0 0
"Tetropium_castaneum" 59 7 9
"Thanasimus_femoralis" 1 0 0
"Thanasimus_formicarius" 58 48 60
"Thanasimus_pectoralis" 2 2 4
"Xyleborus_dispar" 1 0 2
"Xyleborus_saxeseni" 1 0 0
"Xylita_livida" 2 0 0
"Xyloterus_domesticus" 22 11 20
"Xyloterus_lineatus" 4917 1621 4971
