"Acanthocinus_griseus" "Aderus_populneus" "Ampedus_nigrinus" "Anaspis_frontalis" "Anaspis_rufilabris" "Anaspis_thoracica" "Anastrangalia_dubia" "Anisotoma_castanea" "Anisotoma_humeralis" "Anthaxia_helvetica" "Anthaxia_quadripunctata" "Anthribus_albinus" "Arhopalus_rusticus" "Atheta_picipes" "Atomaria_turgida" "Bibloporus_bicolor" "Bitoma_crenata" "Callidium_violaceum" "Cerylon_ferrugineum" "Cis_dentatus" "Corticaria_abietorum" "Corticaria_interstitialis" "Corticaria_lateritia" "Corticaria_longicollis" "Corticeus_linearis" "Corymbia_rubra" "Cryphalus_abietis" "Cryptophagus_cylindrus" "Crypturgus_hispidulus" "Crypturgus_pusillus" "Crypturgus_subcribrosus" "Curtimorda_maculosa" "Platysoma_angustatum" "Dasytes_plumbeus" "Diacanthous_undulatus" "Dinaraea_aequata" "Dryocoetes_autographus" "Dryocoetes_hectographus" "Epuraea_angustula" "Epuraea_binotata" "Epuraea_boreella" "Epuraea_deubeli" "Epuraea_laeviuscula" "Epuraea_marseuli" "Epuraea_pygmaea" "Epuraea_silacea" "Epuraea_terminalis" "Epuraea_thoracica" "Euryusa_castanoptera" "Gabrius_splendidulus" "Glischrochilus_quadripunctatus" "Gnathotrichus_materiarius" "Gyrophaena_boleti" "Hadreule_elongatulum" "Homalota_plana" "Hylastes_brunneus" "Hylastes_cunicularius" "Hylecoetus_dermestoides" "Hylobius_abietis" "Hylurgops_palliatus" "Ips_typographus" "Leptusa_pulchella" "Litargus_connexus" "Malthodes_mysticus" "Melanotus_castanipes" "Micrambe_abietis" "Microscydmus_minimus" "Monochamus_sutor" "Nemosoma_elongatum" "Nudobius_lentus" "Orthoperus_atomus" "Orthoperus_punctatus" "Orthotomicus_laricis" "Phloeocharis_subtilissima" "Phloeonomus_pusillus" "Phloeopora_bernhaueri" "Phloeopora_testacea" "Phloeostiba_lapponicus" "Phyllodrepa_linearis" "Pissodes_harcyniae" "Pityogenes_bidentatus" "Pityogenes_chalcographus" "Pityogenes_quadridens" "Pityophagus_ferrugineus" "Placusa_atrata" "Placusa_complanata" "Placusa_depressa" "Placusa_incompleta" "Placusa_tachyporoides" "Plectophloeus_fischeri" "Plegaderus_vulneratus" "Pogonocherus_fasciculatus" "Polygraphus_poligraphus" "Pteryngium_crenatum" "Pytho_depressus" "Quedius_plagiatus" "Rabocerus_foveolatus" "Rhagium_inquisitor" "Rhizophagus_bipustulatus" "Rhizophagus_cribratus" "Rhizophagus_depressus" "Rhizophagus_dispar" "Rhizophagus_ferrugineus" "Rhizophagus_nitidulus" "Rhizophagus_parallelocollis" "Rhyncolus_ater" "Salpingus_ruficollis" "Scaphisoma_agaricinum" "Serropalpus_barbatus" "Silvanus_bidentatus" "Tachyta_nana" "Tetropium_castaneum" "Thanasimus_femoralis" "Thanasimus_formicarius" "Thanasimus_pectoralis" "Xyleborus_dispar" "Xyleborus_saxeseni" "Xylita_livida" "Xyloterus_domesticus" "Xyloterus_lineatus"
"Acanthocinus_griseus" 0 0.3698934945308 0.226541192462743 0.214962167955728 0.229534706815832 0.218330043603397 0.139807138744963 0.294389088171472 0.33516629024401 0.186686927062575 0.169093374961251 0.123590091550602 0.0914450201496834 0.310697710490191 0.218280191311279 0.304121385235375 0.199284796953191 0.0277720207253886 0.162337363270006 0.21054260218768 0.228614100349852 0.272128780833444 0.208726252158895 0.286237560667357 0.187810327266286 0.147392055267703 0.165352730171383 0.178798326026305 0.103888999601435 0.144666201673974 0.408496302200965 0.18121628802976 0.0995144147568155 0.231395879602504 0.236347371684159 0.299949847216686 0.0696482662415305 0.0890524113192507 0.121902152251893 0.217318763562287 0.0997279792746114 0.178264248704663 0.118016141889199 0.119971214738054 0.203130729374253 0.353478366794163 0.155163522430362 0.106360103626943 0.183090872857712 0.28661096242728 0.0790784604139896 0.108860103626943 0.31849098799876 0.323326658967468 0.16237766263673 0.0661787564766839 0.0669559585492228 0.132772020725389 0.0337953367875648 0.125983459545636 0.0728857225100748 0.249760196599841 0.20355169012038 0.212822980168606 0.301983599796342 0.177487046632124 0.325349851645188 0.10259366281387 0.0811897170187326 0.099347460254196 0.252691453643937 0.260211618440282 0.0499740932642487 0.181447898659211 0.130430339649424 0.443224281475577 0.136266551525619 0.163429874673398 0.440633607900447 0.0498037066560383 0.10414308489438 0.108734334158082 0.111915105619769 0.0884974093264249 0.174511536247288 0.134453080023028 0.119116292458261 0.175806873034852 0.187011536247288 0.357092430229007 0.0959178386523316 0.0882253886010363 0.0684326424870466 0.267465568398211 0.0996604446215845 0.23911241748582 0.174805699481865 0.139261436605996 0.129292768256499 0.276041567803481 0.104479872459147 0.178683959966343 0.145935631725787 0.198795036296369 0.246746522058735 0.210435021239462 0.181269540764359 0.348176121501424 0.0800260174482972 0.146034276604225 0.227635881183242 0.0330440414507772 0.0996194809795846 0.0832595197116292 0.10001918491689 0.129300518134715 0.134363434507254 0.129801381692573 0.144220805101634 0.0996095484968912
"Aderus_populneus" 0.3698934945308 0 0.297198455914211 0.234931326575072 0.245358787714968 0.231563450927404 0.380811744386874 0.333965944820867 0.293188742748328 0.515129644391302 0.494945418714849 0.309050655741736 0.376894070236039 0.281759886655994 0.460608919002701 0.292005668482352 0.327531774500686 0.382665515256189 0.289110535405872 0.30435089234312 0.448720605819051 0.305568619635977 0.267721646516983 0.195391685158779 0.476356671538019 0.34395221646517 0.447681457862805 0.461127053717727 0.376217727292857 0.426994929365396 0.690825029892387 0.265600283424118 0.3657636951586 0.347783329228296 0.391796421770515 0.328789801160267 0.340629843673885 0.381225698596165 0.368375957663522 0.47949780789159 0.385165515256189 0.371629245826137 0.372261968026217 0.379922279792746 0.487531995925778 0.318979230352022 0.367336809707276 0.398533390903857 0.305264160134626 0.317128685949674 0.37081503411681 0.391033390903857 0.319708604579071 0.348671259636668 0.331960276338515 0.328714738054116 0.327937535981577 0.332665515256189 0.361098157743235 0.376602342677472 0.344229994242948 0.251415349161729 0.28634180441042 0.312711540054502 0.353728946149364 0.422406447898676 0.215456357114388 0.47248715734467 0.394088392896683 0.36593064966122 0.380734467024248 0.38825501279837 0.349919401266551 0.271554404161744 0.344981289596402 0.650216221602232 0.323626943005181 0.407831141224924 0.652806895177361 0.370474403259377 0.391135025021035 0.392099331279556 0.394243833311191 0.361396085204375 0.326840263938709 0.315440414507772 0.330777202072539 0.328135600726274 0.339340263938709 0.276828565298206 0.359675137743753 0.416668105929764 0.356460852043754 0.300905407200744 0.429553939152385 0.343473384737288 0.390087795048935 0.433599375581241 0.255985341658917 0.337313465188858 0.360798237456268 0.311594149949072 0.40588093972809 0.328021535157508 0.317377741702834 0.322920011752876 0.380547030689518 0.310948142260146 0.417697289756875 0.319243833311191 0.324180690270635 0.392937535981577 0.400658628935831 0.391633974819171 0.390258924998525 0.331629245826137 0.318120733598676 0.290092112838227 0.321057304813781 0.375283946033909
"Ampedus_nigrinus" 0.226541192462743 0.297198455914211 0 0.163695700739139 0.178268239599243 0.167063576386807 0.237459442318817 0.163232511093344 0.124009713165883 0.382140036623763 0.364546484522439 0.127236815212141 0.233541768167982 0.172475606324884 0.336810223949391 0.116668511890581 0.230293462069935 0.239313213188132 0.202234917275639 0.254884600637757 0.324921910765741 0.181769924582667 0.23084602838675 0.213542522050768 0.383263436827474 0.200599914397113 0.360805839732572 0.374251435587494 0.212419032239546 0.340119311235162 0.603949411762154 0.203336064257615 0.271634191018004 0.240182322497026 0.144597965856304 0.088223469598388 0.219716760418104 0.269120905495824 0.277355261813082 0.313626573978176 0.2951810888358 0.333717358265852 0.273469251450387 0.28320210207702 0.398583838935441 0.201922929295523 0.255232016606935 0.301813213188132 0.220082443957362 0.0600697699645365 0.255960141375178 0.294313213188132 0.144371447987299 0.351795641506434 0.237830772197919 0.221631866037872 0.222409068110411 0.239313213188132 0.217745855675178 0.173744261414517 0.228338832071263 0.125783106752482 0.233766704414902 0.177396968770821 0.121915105619769 0.372940156193313 0.175731736105522 0.329134855276613 0.276642826579921 0.217193732208547 0.226166541201707 0.233687086975829 0.245427202825437 0.184678786031511 0.258105671466168 0.558677391036765 0.229497438864585 0.24195990731151 0.556086717461636 0.245256816217227 0.299596194455569 0.304187443719271 0.307368215180957 0.243950518887613 0.234580030423861 0.267683967361995 0.252347179797228 0.235875367211425 0.247080030423861 0.130551237766264 0.27279951961352 0.283678498162225 0.263885752048235 0.177106712147434 0.209278560161251 0.138725071176923 0.290258809043054 0.244093227359337 0.144916817988628 0.149541075436464 0.259932982020336 0.194308009698472 0.224465664363899 0.147642529223369 0.0564487158404366 0.0799662748502236 0.197577351180249 0.138301595738681 0.197421910765741 0.221487386165413 0.229014916699987 0.24958523391352 0.272850368318551 0.248281672751114 0.254678643655857 0.244753627695904 0.231245115468442 0.151921157920429 0.204289299278207 0.27649122945808
"Anaspis_frontalis" 0.214962167955728 0.234931326575072 0.163695700739139 0 0.0145725388601036 0.00336787564766839 0.167308989211802 0.240463189645795 0.200204122288282 0.28019831781623 0.260014092139777 0.154119329166664 0.243391315060967 0.242402209201129 0.359667229733329 0.22249255061298 0.197655962330796 0.227734188681117 0.1695974175365 0.222247100898618 0.347778916549679 0.226055501766605 0.198208528647611 0.151275392711629 0.329197365688335 0.130449461290098 0.306739768593432 0.320185364448355 0.235276038023484 0.286053240096023 0.549883340623015 0.182097528249046 0.222330024578865 0.112852002653224 0.308293666595443 0.209432123705403 0.197127088498813 0.2304394497413 0.244717762073943 0.256483579762114 0.241115017696661 0.301079858526713 0.240831751711248 0.229136030937881 0.344517767796302 0.19547647517695 0.216550560852411 0.247747142048992 0.225906482679762 0.193625930774602 0.215883707541739 0.240247142048992 0.250195486709698 0.319158141767295 0.205193272458779 0.195211982879044 0.194434780806505 0.169162760081117 0.227595402568163 0.248799069367685 0.210727239067876 0.13257580642189 0.179700633275763 0.15778021347943 0.190226190974292 0.318874085054174 0.19038768368946 0.317555830769598 0.239157066321611 0.242427894486148 0.279792777754876 0.287313323528998 0.19498807469148 0.135374619592372 0.208801505027029 0.504611319897626 0.175431367725446 0.286245484495447 0.502020646322497 0.215543076684305 0.24553012331643 0.250121372580131 0.253302144041818 0.227893330029303 0.217327146069337 0.235046467622855 0.219709680058089 0.218622482856902 0.229827146069337 0.222130262273278 0.218733448474381 0.261736779354692 0.209819680909096 0.221392289331371 0.296051183977313 0.226637296162216 0.236192737903915 0.220096620406169 0.127663933634104 0.255365114158864 0.227295482281197 0.178091394774 0.272378184553018 0.173090208582437 0.162446415127762 0.167988685177804 0.225615704114446 0.213213953545695 0.262765963181803 0.188849886426274 0.196377416960848 0.238006209406505 0.245727302360759 0.236702648244099 0.235327598423453 0.190687556556765 0.177179044329303 0.156589357663155 0.187554549638709 0.222425158318941
"Anaspis_rufilabris" 0.229534706815832 0.245358787714968 0.178268239599243 0.0145725388601036 0 0.0137953367875648 0.156881528071906 0.255035728505899 0.21425852643336 0.269770856676334 0.24958663099988 0.168691868026768 0.257963853921071 0.252829670341026 0.370094690873225 0.232920011752876 0.208601558185718 0.21730672754122 0.180024878676396 0.207674562038515 0.358206377689575 0.236482962906501 0.183635989787507 0.136702853851526 0.339624826828232 0.145022000150201 0.292167229733329 0.330612825588251 0.220703499163381 0.27148070123592 0.560310801762911 0.196670067109149 0.232757485718761 0.102424541513328 0.297866205455547 0.194859584845299 0.186699627358917 0.215866910881197 0.230145223213839 0.26691104090201 0.226542478836557 0.286507319666609 0.228331751711248 0.214563492077778 0.354945228936199 0.210049014037053 0.201978021992308 0.233174603188889 0.236333943819658 0.208198469634706 0.230456246401842 0.250674603188889 0.260622947849595 0.329585602907192 0.215620733598676 0.184784521739148 0.184007319666609 0.18373529894122 0.217167941428267 0.234226530507582 0.200299777927979 0.143003267561786 0.190128094415659 0.147352752339533 0.204798729834396 0.32930154619407 0.200815144829356 0.307128369629702 0.253729605181715 0.257000433346251 0.290220238894772 0.297740784668894 0.209560613551583 0.145802080732268 0.194228966166926 0.515038781037523 0.185858828865342 0.296672945635344 0.487448107462393 0.230115615544409 0.255957584456326 0.235548833720028 0.263729605181715 0.242465868889407 0.227754607209233 0.246510198192804 0.230137141197985 0.229049943996798 0.215254607209233 0.207557723413175 0.229160909614277 0.251309318214796 0.195247142048992 0.231819750471268 0.285623722837416 0.21620983502232 0.224729007333967 0.209669159266272 0.138091394774 0.243383248873889 0.2418680211413 0.167663933634104 0.261950723413122 0.18766274744254 0.177018953987866 0.157561224037908 0.215188242974549 0.223641414685592 0.252338502041907 0.200313616996222 0.181804878100744 0.227578748266609 0.235299841220863 0.226275187104203 0.224900137283557 0.201115017696661 0.1876065054692 0.146161896523258 0.202127088498813 0.209925158318941
"Anaspis_thoracica" 0.218330043603397 0.231563450927404 0.167063576386807 0.00336787564766839 0.0137953367875648 0 0.17067686485947 0.243831065293463 0.203053863220925 0.283566193463899 0.263381967787445 0.157487204814333 0.246759190708636 0.24162500712859 0.35629935408566 0.219124674965311 0.197396894973283 0.231102064328785 0.166229541888831 0.21887922525095 0.34441104090201 0.222687626118936 0.194840652999942 0.147907517063961 0.325829490040667 0.133817336937766 0.303371892945764 0.316817488800686 0.231908162375816 0.282685364448355 0.546515464975346 0.185465403896714 0.218962148931197 0.116219878300892 0.311661542243111 0.208654921632864 0.200494964146481 0.229662247668761 0.241349886426274 0.253115704114446 0.237747142048992 0.297711982879044 0.242127088498813 0.228358828865342 0.341149892148634 0.198844350824618 0.215773358779872 0.246969939976454 0.225129280607223 0.196993806422271 0.219251583189407 0.239469939976454 0.24682761106203 0.315790266119627 0.201825396811111 0.198579858526713 0.197802656454174 0.172530635728785 0.230963278215832 0.246467463150069 0.214095114715544 0.131280469634325 0.176332757628094 0.161148089127098 0.193594066621961 0.315506209406505 0.187019808041792 0.320923706417267 0.242524941969279 0.245795770133816 0.276424902107207 0.283945447881329 0.198355950339148 0.132006743944703 0.205433629379361 0.501243444249958 0.172063492077778 0.282877608847779 0.501243444249958 0.218910952331974 0.242162247668761 0.246753496932463 0.24993426839415 0.231261205676972 0.213959270421669 0.235305534980368 0.21634180441042 0.215254607209233 0.226459270421669 0.21876238662561 0.215365572826713 0.26510465500236 0.206451805261428 0.218024413683703 0.299419059624981 0.230005171809884 0.238524344121531 0.223464496053837 0.125850462131513 0.257178585661454 0.230663357928865 0.181459270421669 0.275746060200686 0.176458084230105 0.165814290775431 0.171356560825473 0.228983579762114 0.209846077898027 0.266133838829472 0.189108953783787 0.194045810743231 0.241374085054174 0.249095178008427 0.240070523891767 0.238695474071122 0.187319680909096 0.173811168681635 0.159957233310823 0.190922425286378 0.223720495106505
"Anastrangalia_dubia" 0.139807138744963 0.380811744386874 0.237459442318817 0.167308989211802 0.156881528071906 0.17067686485947 0 0.305307338027545 0.346084540100084 0.196494065807537 0.203900513706213 0.174508341406676 0.126082325849165 0.321615960346264 0.358087330056242 0.315039635091448 0.254647491253709 0.112035118019574 0.226588946459413 0.196460852043754 0.346199016872592 0.283047030689518 0.194644502014968 0.272155810523431 0.327617466011248 0.0575849165227404 0.255159868916346 0.318605464771268 0.208696138346397 0.259473340418936 0.548303440945928 0.192134537885833 0.215988220201778 0.177314129458578 0.176540232939197 0.28586809707276 0.154455404986493 0.178859550064213 0.196709290996856 0.254903680085027 0.214535118019574 0.228071387449626 0.192823280634161 0.177556131260794 0.342937868119215 0.284396616650237 0.269970661175324 0.221167242371906 0.282898011602675 0.297529212283353 0.200314170558952 0.238667242371906 0.329409237854834 0.334244908823542 0.262184801381692 0.140985895221646 0.141763097294185 0.137035118019574 0.108602475532527 0.200790598290598 0.147692861255037 0.260678446455914 0.258120733598676 0.19516980142468 0.212176461051379 0.317294185377087 0.336268101501262 0.196675412957796 0.220996855763695 0.176932376776936 0.303609703500011 0.311129868296355 0.189781232009211 0.209032815215285 0.177459700649942 0.583031420220539 0.253851468048359 0.26323701341836 0.55544074664541 0.189610845401001 0.243950223639343 0.198541472903045 0.251722244364731 0.188304548071387 0.27431867499225 0.212037996545769 0.196701208981002 0.275614011779815 0.26181867499225 0.34301068008508 0.217153548797294 0.203032527345999 0.183239781232009 0.278383818254284 0.161514215490899 0.225030667341894 0.289612838226828 0.0777876311943669 0.184655462557017 0.287356643081777 0.20428701120411 0.209046654266861 0.22074277047075 0.24891963533022 0.279093343314809 0.217781842495536 0.2738544572871 0.375761038057497 0.141885545370001 0.245841415349187 0.228368945883761 0.117125791594703 0.192204397502325 0.15727300763437 0.174032672839631 0.269107656879678 0.255599144652216 0.0907196315486471 0.244027943846597 0.195845258641854
"Anisotoma_castanea" 0.294389088171472 0.333965944820867 0.163232511093344 0.240463189645795 0.255035728505899 0.243831065293463 0.305307338027545 0 0.0407772020725389 0.439625238031974 0.41944101235552 0.275084710920869 0.30138966387671 0.15887272483154 0.203207342456047 0.183065630397237 0.296690580576591 0.30716110889686 0.268632035782295 0.121281719144413 0.191319029272397 0.128167043089323 0.177243146893406 0.210310010957424 0.36966055533413 0.268447810105841 0.387202958239228 0.32064855409415 0.238816150746202 0.366516429741818 0.63034653026881 0.240095877064789 0.25803130952466 0.312278922868967 0.227830476949648 0.170005203489659 0.249740821929941 0.29551802400248 0.263752380319738 0.300023692484832 0.281578207342456 0.320114476772508 0.259866369957043 0.269599220583676 0.384980957442097 0.190910721377308 0.321629135113591 0.288210331694788 0.286479562464018 0.153162741128807 0.255310627757482 0.240710331694788 0.0907685664939551 0.218192760013091 0.304227890704575 0.253210331694788 0.252433129622249 0.38716110889686 0.285593751383907 0.200141379921173 0.268725587883619 0.180328373436916 0.180163822921558 0.251566108002865 0.269763001328497 0.239337274699969 0.212499225012178 0.396982750985342 0.278583986537354 0.245041627917275 0.132563659708363 0.140084205482485 0.274414994907223 0.251075904538167 0.244502789972824 0.625074509543421 0.295894557371241 0.228357025818166 0.622483835968292 0.294969996900049 0.325993312962225 0.330584562225927 0.333765333687613 0.245891678845047 0.300977148930517 0.254081085868651 0.238744298303884 0.302272485718081 0.313477148930517 0.182703342057535 0.259196638120176 0.341163699570435 0.290282870554891 0.12350383065409 0.277126455869979 0.136943337285652 0.35665592754971 0.311941123068066 0.251313936495284 0.21593819394312 0.246330100526992 0.260705128205128 0.213453456445684 0.215594051875103 0.183411796881967 0.188954066932009 0.268119547407112 0.0704537000299522 0.26526980647447 0.287884504672069 0.295412035206643 0.317433129622249 0.285154222576502 0.276129568459842 0.274754518639197 0.27115074620256 0.257642233975098 0.214587706478898 0.230686417784863 0.222888347964736
"Anisotoma_humeralis" 0.33516629024401 0.293188742748328 0.124009713165883 0.200204122288282 0.21425852643336 0.203053863220925 0.346084540100084 0.0407772020725389 0 0.480402440104513 0.460218214428059 0.235861912993408 0.342166865949249 0.118095522759001 0.242430140383508 0.142288428324698 0.255913378504052 0.347938310969399 0.227854833709756 0.160504517071875 0.230541827199858 0.087389841016784 0.216465944820867 0.169532808884886 0.408883353261592 0.30922501217838 0.426425756166689 0.359871352021611 0.278038948673664 0.405739227669279 0.669569328196271 0.280873079137328 0.297254107452121 0.273056124941506 0.268607679022187 0.129228001417121 0.29051802400248 0.334740821929941 0.302975178247199 0.339246490412293 0.320801005269917 0.359337274699969 0.299089167884505 0.308822018511138 0.424203755369558 0.151687923449847 0.280851933041052 0.327433129622249 0.245702360391479 0.113939943201346 0.296087829830021 0.279933129622249 0.0499913644214162 0.257415557940552 0.263450688632036 0.293987533767326 0.293210331694788 0.347938310969399 0.326370953456446 0.239364177848634 0.309502789956158 0.139551171364377 0.139386620849019 0.212343310075404 0.230540203401036 0.27856007262743 0.17172202293964 0.43775995305788 0.319361188609893 0.285818829989814 0.171786457635824 0.179307003409946 0.315192196979762 0.210298702465628 0.283725587900286 0.584297307470882 0.255117355298702 0.267579823745627 0.581706633895753 0.335747198972587 0.365216110889686 0.369807360153388 0.372988131615074 0.286668880917586 0.260199946857978 0.293303883796112 0.277967096231345 0.261495283645543 0.272699946857978 0.141926139984996 0.298419436047637 0.381940901642974 0.329505668482352 0.0827266285815508 0.317903657942518 0.17772053935819 0.315878725477171 0.352718325140605 0.210536734422745 0.175160991870581 0.286071033169479 0.221482330277667 0.254230658518223 0.176371253947642 0.144188998954506 0.149731269004548 0.228896749479651 0.0296764979574133 0.306047008547008 0.247107302599531 0.254634833134104 0.358210331694788 0.325931424649041 0.316906770532381 0.315531720711735 0.230373544130021 0.21686503190256 0.255364908551437 0.190945485142376 0.262111145892197
"Anthaxia_helvetica" 0.186686927062575 0.515129644391302 0.382140036623763 0.28019831781623 0.269770856676334 0.283566193463899 0.196494065807537 0.439625238031974 0.480402440104513 0 0.0424064478986759 0.2704472628624 0.278131947212258 0.455933860350693 0.263516341171782 0.449357535095877 0.267597869890616 0.189458947787963 0.307573513130508 0.330778752048182 0.273850250210354 0.417364930693946 0.328962402019397 0.40647371052786 0.217661861742173 0.254078982330278 0.0836658031088083 0.147111398963731 0.224125149461937 0.0979792746113989 0.376809375138391 0.249529360967185 0.229365949232702 0.247346315163006 0.373034298746734 0.420185997077189 0.189884416102033 0.149288561179753 0.22675368672778 0.192554913422789 0.209964129135114 0.248500398565165 0.222867676365086 0.215207364598556 0.261443802311678 0.418714516654665 0.265399672290864 0.196596253487445 0.328327022718214 0.431847112287782 0.224314610274492 0.254096253487445 0.463727137859262 0.391639731904893 0.307613812497232 0.186414906337186 0.187192108409725 0.239458947787963 0.19289159027501 0.246219609406138 0.193121872370577 0.394996346460343 0.348787839980882 0.308059130029109 0.408670526858917 0.222723196492626 0.470586001505691 0.177357512953368 0.201041251494619 0.254946304415216 0.37364188920444 0.365447768300784 0.165210243124751 0.326684048519713 0.250666489509926 0.411537354413002 0.271502701386121 0.3086660245339 0.383946680837872 0.144655241131925 0.133994619370267 0.145252535333969 0.141766640095656 0.233733559186927 0.31974768610779 0.27968922988353 0.264352442318763 0.321043022895354 0.30724768610779 0.477328580089509 0.241153988512834 0.108461538461538 0.158668792347549 0.412701718258713 0.261347371684159 0.36971126164684 0.205041849342367 0.220948363668571 0.274528918117001 0.396277717663983 0.234331406935034 0.298920109826846 0.266171781586289 0.344031186156871 0.391982671919237 0.330671171099965 0.291505690624861 0.493412271361926 0.241712944510872 0.275885811080112 0.270948954120668 0.194730968513352 0.194471015455471 0.224221058173168 0.207461392967907 0.264536667995217 0.279599584367756 0.230218878703335 0.289456954962136 0.219845698357393
