"sp" "fs2" "kt3" "th" "sla" "ldmc"
"1" "ADINFO" 185 0 0.22375 135.686019176504 0.329469682940574
"94" "AGLAFO" 0 1554 0.219797222222222 104.022345348333 0.365493537294441
"2" "ALNIPT" 1 0 0.175833333333333 147.545487840039 0.354412686300314
"3" "ANTIJA" 381 0 0.107708333333333 249.628097217134 0.2734596366666
"95" "ANTIPE" 0 252 0.1349625 188.7085721298 0.294859516588265
"4" "ARALDE" 8 0 0.0775 221.146731513151 0.336055302929395
"5" "ARCHLU" 21 0 0.0988333333333333 212.072578249751 0.343800538670291
"6" "ARDICO" 11 0 0.220609756097561 155.48635282551 0.247774727387174
"7" "ARDIQU" 709 24 0.145698660714286 156.823731119959 0.314807070561351
"8" "ARDISI" 2 169 0.190718576388889 135.444162599526 0.308304764421751
"9" "ARDIVI" 54 0 0.156037735849057 201.301742167944 0.231933118098805
"96" "BEILER" 0 316 0.202651960784314 107.52831654025 0.377233234501506
"97" "BISCJA" 0 375 0.233776785714286 126.458198318245 0.262413093656468
"10" "BLASCO" 9976 0 0.0681914893617021 303.279476776566 0.270456527245519
"98" "BOEHWA" 0 58 0.0917390350877193 299.392372665227 0.243626995638413
"99" "BREYOF" 0 13 0.130833333333333 181.975527378256 0.338397514649
"100" "BRIDBA" 0 23 0.113946111111111 158.907214627033 0.394419349206877
"11" "CALLFO" 1 16 0.122580128205128 252.589235556788 0.283070972575934
"12" "CALLKO" 40 0 0.0830555555555555 218.730507834659 0.298336446307786
"13" "CALLTI" 11 0 0.0791666666666667 318.891473977607 0.254089972955349
"14" "CASEME" 1 2 0.17 776.540101683932 0.246746372756639
"15" "CASTCU" 1700 0 0.140789473684211 133.397853895361 0.445980305329678
"101" "CELTFO" 0 60 0.130516666666667 159.168472462239 0.343062375302604
"102" "CELTNE" 0 3 0.166666666666667 64.3260316959358 0.749566224871757
"103" "CHAMMA" 0 858 0.264455092592593 107.860610422254 0.272809209748645
"16" "CINNAU" 145 0 0.160757575757576 101.182770542449 0.484505190565626
"17" "CINNMI" 123 0 0.113166666666667 211.92772543751 0.297138235321284
"104" "CINNRE" 0 13 0.235666666666667 47.1118354888263 0.441067878754186
"18" "CINNSU" 259 0 0.141212121212121 126.765676661978 0.450801937937021
"105" "CLERTR" 0 3 0.0933333333333333 290.995020122247 0.236936354287626
"19" "CLEYJA" 606 0 0.235384615384615 113.47403214063 0.370492327519767
"106" "COFFAR" 0 25 0.172625 189.332470766413 0.301577462808594
"107" "CRATAD" 0 50 0.0940532407407407 295.625755201566 0.20873200482151
"108" "CROTCA" 0 45 0.192517156862745 140.00747783002 0.32585548208664
"20" "CRYPCH" 141 0 0.163396226415094 144.555904818054 0.351515304817325
"109" "CRYPCO" 0 697 0.231843137254902 105.818514498832 0.381530670297867
"21" "CYCLGI" 107 0 0.116805555555556 158.154846000122 0.493882679946249
"22" "CYCLLO" 336 0 0.115 166.70084452937 0.441466112654339
"23" "CYCLSE" 174 0 0.168920454545455 116.71421944808 0.461203018785415
"24" "DAPHGL" 256 0 0.178888888888889 167.644089728311 0.291188288555025
"110" "DENDME" 0 711 0.161308823529412 225.338539580289 0.167681172081346
"111" "DIOSER" 0 435 0.147791666666667 140.186347068795 0.43837887688787
"112" "DIOSFE" 0 30 0.281705357142857 69.319871191817 0.383278556325311
"113" "DIOSMA" 0 18803 0.21230701754386 112.2155649714 0.425691106356542
"25" "DIOSMO" 984 0 0.108375 237.701725772806 0.296508399890808
"114" "DIOSPH" 0 592 0.272946428571429 75.649760868368 0.412957643558405
"115" "DRACAN" 0 161 0.238839912280702 123.829157815006 0.200650451497912
"116" "DRYPLI" 0 3223 0.286819444444444 84.4983041527842 0.384857280778663
"117" "EHREAC" 0 30 0.163485714285714 124.617737397479 0.421025459226136
"118" "EHREDI" 0 11 0.1725 283.596118736999 0.295273852791282
"119" "EHRERE" 0 57 0.1346015625 152.724340014984 0.31719330655625
"26" "ELAEJA" 557 0 0.106190476190476 201.316617807934 0.341311641577238
"27" "ELAESY" 157 0 0.1335 194.876667615312 0.294219237666329
"28" "ENGERO" 2424 0 0.1124 180.729680081305 0.41250088664018
"29" "ERIODE" 2 50 0.19774609375 86.4448042328265 0.423476170390923
"30" "EURYLO" 675 0 0.135745614035088 172.382640923428 0.363608153012472
"120" "FICUAM" 0 28 0.123608072916667 165.983155356722 0.332782354854747
"121" "FICUCA" 0 17 0.209731481481481 118.935019596274 0.341467766199928
"31" "FICUER" 56 0 0.0555092592592593 331.038229723629 0.26740989628652
"32" "FICUFO" 9 0 0.0784848484848485 422.030584295074 0.210888419872499
"122" "FICUIR" 0 83 0.135826754385965 193.094607249849 0.294064639024784
"123" "FICUSE" 0 114 0.12881875 208.265307598652 0.218873823702916
"33" "FICUSU" 4 23 0.132436431623932 194.18782063444 0.307929655805982
"124" "FICUVI" 0 23 0.159236979166667 127.224765451782 0.30271091371908
"125" "FIRMSI" 0 7 0.131666666666667 201.173453920557 0.328204207363242
"126" "FLUESU" 0 7 0.106111111111111 213.491609083329 0.328408739657194
"127" "FLUEVI" 0 1 0.106666666666667 164.962479630601 0.425960656830874
"128" "FRAXGR" 0 31 0.1619875 102.526096935615 0.396633226029419
"129" "FRAXIN" 0 9 0.145714285714286 425.592355533709 0.332101741898923
"130" "GARDJA" 0 6 0.150666666666667 161.305715292081 0.370531765441688
"131" "GELOAE" 0 30 0.285049479166667 104.114070389613 0.286393474809102
"132" "GLEDRO" 0 8 0.113333333333333 246.174931630702 0.310625604827118
"34" "GLOCAC" 821 0 0.085 261.400084984225 0.280625425776598
"133" "GLOCPH" 0 54 0.124379901960784 127.105545443662 0.36082391428924
"134" "GLOCRU" 0 2 0.158333333333333 130.303608244502 0.377874667920435
"135" "GLYCCI" 0 223 0.182664351851852 151.734455780199 0.343506449306438
"136" "GONOCA" 0 374 0.315399509803922 90.5739804420099 0.3297418953903
"35" "GORDAX" 30 0 0.26890625 91.5988984006086 0.376052245629892
"36" "HELIFO" 6525 0 0.155964912280702 157.564344291726 0.318429806091387
"37" "ILEXFI" 219 0 0.194458333333333 115.603443079813 0.4106788205232
"38" "ILEXFO" 305 0 0.199236111111111 147.349714074302 0.357373664926296
"39" "ILEXGO" 29 0 0.255 106.163239587208 0.406309339797245
"40" "ILEXLO" 2 0 0.185833333333333 102.516505985602 0.416846915957522
"41" "ILEXPU" 137 0 0.0892045454545455 256.347425287901 0.310837520393414
"42" "ILEXRO" 75 0 0.119102564102564 220.486439634347 0.266740186649341
"43" "ILEXUR" 1 0 0.26 88.2031905181884 0.441878097147023
"44" "ITEAPA" 109 0 0.119848484848485 179.426084340891 0.353991155231976
"137" "KLEIHO" 0 4 0.0577777777777778 425.54402619958 0.22531533500446
"138" "KOELHE" 0 140 0.0945958333333333 181.039039929223 0.409871403081316
"45" "LAGESU" 65 29 0.113247222222222 185.333104823519 0.311615703317345
"46" "LASIAP" 89 0 0.0937916666666667 212.302099815731 0.366340055340882
"47" "LASICU" 1 0 0.124166666666667 165.763169584713 0.35453898312997
"48" "LASIFO" 230 0 0.0911643835616438 225.341112042642 0.317104800996848
"49" "LASIMI" 34 0 0.0906578947368421 210.458830436523 0.340702229374983
"139" "LASIOB" 0 20 0.1813 168.898599549497 0.280947994543182
"140" "LEEAGU" 0 192 0.140811274509804 133.342611604705 0.323949763203117
"50" "LIMLUR" 433 0 0.141166666666667 142.857398148535 0.419822759418269
"51" "LINDCO" 62 0 0.119791666666667 166.889347424981 0.413438563151255
"141" "LIODFO" 0 136 0.175332516339869 83.5911214973279 0.423549193394061
"52" "LITSAC" 1580 0 0.117727272727273 149.805544786197 0.415307521747418
"142" "LITSHY" 0 16 0.164444444444444 42.2183681992329 0.434972412816595
"143" "MACATA" 0 518 0.0999604166666667 173.465681801242 0.372993271997369
"53" "MACHJA" 15 119 0.215097222222222 132.362066811382 0.324810214558854
"54" "MACHMU" 761 0 0.121935483870968 179.475108502674 0.358911683958234
"55" "MACHTH" 1259 0 0.179473684210526 128.322654403527 0.397779787974777
"56" "MACHZU" 157 2 0.195089285714286 128.2794528571 0.376174728026105
"57" "MAESJA" 15 0 0.168109756097561 203.94158885688 0.267327356838861
"58" "MAESPE" 45 2 0.11125 290.243919375703 0.221218681041576
"59" "MALLJA" 8 0 0.0828333333333333 229.422839641704 0.33104208514055
"60" "MALLPA" 5 15 0.111666666666667 169.825943831469 0.383210485343701
"144" "MALLPH" 0 136 0.109161458333333 160.16758114907 0.530054383784662
"61" "MELACA" 107 0 0.1121875 198.847327669882 0.260591747296964
"145" "MELAMU" 0 567 0.0784652777777778 257.641435022575 0.270161395521275
"146" "MELIAZ" 0 4 0.1275 354.091244653902 0.316267324554508
"147" "MELISE" 0 72 0.14044362745098 176.043896374289 0.345468551334192
"62" "MELISQ" 1321 0 0.178974358974359 135.164063688171 0.365518340815149
"63" "MICHCO" 68 0 0.121585365853659 252.063380516837 0.264350782440633
"148" "MURRPA" 0 205 0.168333333333333 136.952700363418 0.370967323283825
"64" "MYRIRU" 8 0 0.129090909090909 145.567202983613 0.424307167614216
"65" "MYRSSE" 1094 0 0.210104166666667 114.994047643819 0.368911169045845
"149" "NEOLPA" 0 13 0.20625 86.4034823654482 0.507031944997598
"66" "OREOPE" 7 0 0.0904166666666667 266.220110427502 0.247921621801063
"67" "OSMAMA" 107 0 0.143365384615385 136.841584448298 0.406155443647
"150" "PALAFO" 0 562 0.29775 79.9954068131197 0.329914179881974
"68" "PASAHN" 48 0 0.12125 160.796617213419 0.428762047320482
"69" "PERRAR" 2 0 0.0558333333333333 375.441660536303 0.234422496560543
"151" "PISOUM" 0 349 0.227715972222222 154.703665112061 0.151224909015638
"152" "PITTPE" 0 4 0.143333333333333 382.180084521172 0.356944900598657
"153" "PLANOB" 0 396 0.267387254901961 95.6144689942584 0.328769908650041
"70" "POURBE" 2 0 0.119166666666667 171.332222361679 0.411765261218469
"154" "PREMSE" 0 4 0.141666666666667 212.076031851886 0.236856295205293
"71" "PRUNPH" 432 0 0.114285714285714 178.372941663264 0.383418195660707
"155" "PSYCRU" 0 5 0.223333333333333 185.819827723955 0.191154566106512
"156" "PTERIN" 0 29 0.116236111111111 173.389009016873 0.303616720703116
"72" "PYRESH" 1789 0 0.18275641025641 172.406481793135 0.298960013413733
"157" "RADESI" 0 35 0.0925119047619048 163.992357314077 0.306884549583588
"73" "RANDCO" 839 0 0.135541666666667 133.296564422788 0.428510801526036
"158" "RANDSI" 0 1 0.146666666666667 165.274852298543 0.324094082077275
"159" "RANDSP" 0 1 0.12 199.019330188321 0.335953398453398
"160" "REEVFO" 0 32 0.180102777777778 131.116861059162 0.403371162636795
"161" "RHAMFO" 0 1 0.133333333333333 123.898197173844 0.4362994115892
"74" "RHODLE" 43 0 0.249305555555556 105.993168827381 0.365111084395078
"75" "RHUSSU" 41 0 0.128333333333333 153.662194929339 0.388571649178183
"162" "SAPIMU" 0 153 0.102567708333333 182.928219777877 0.446945005290361
"76" "SAURTR" 118 0 0.176860465116279 217.569878687244 0.175754243380859
"77" "SCHEOC" 767 0 0.12171875 214.282318101352 0.282366616492769
"163" "SCOLOL" 0 32 0.2493125 86.9249280361769 0.399031525153108
"164" "SEVEBU" 0 13 0.288888888888889 79.4858488373089 0.408837697302274
"78" "STYRSU" 1 0 0.1475 160.967106967107 0.388399535452247
"79" "SYMPCA" 10 0 0.225526315789474 147.286866968536 0.286557640104004
"80" "SYMPGL" 560 0 0.14 182.288241568941 0.313673604551758
"81" "SYMPHE" 12 0 0.165980392156863 156.711668605707 0.351127696557663
"82" "SYMPSE" 25 0 0.162222222222222 143.929614245343 0.366662560901768
"83" "SYMPSO" 36 0 0.159362745098039 168.54322208067 0.312310234698641
"84" "SYMPTH" 1302 0 0.160625 162.448906547545 0.285428160363027
"85" "SYMPWI" 19 0 0.175 161.11429704204 0.334940259235086
"86" "SYZYBU" 181 0 0.188035714285714 116.484325020529 0.406191403630495
"87" "SYZYFO" 1 69 0.168984068627451 132.448980497309 0.357054234837625
"88" "TETRGL" 1 1 0.115833333333333 205.18599774944 0.360765278502024
"165" "TREMOR" 0 4 0.179166666666667 116.439401905236 0.300363409666251
"89" "TRICDU" 452 0 0.149715909090909 175.105776632637 0.298982240623251
"90" "TURPFO" 2 0 0.181666666666667 144.236593452999 0.289224847515023
"91" "VACCBR" 2 0 0.164166666666667 197.849462365591 0.298045360091565
"92" "VIBUFO" 7 0 0.0672777777777778 277.236353011007 0.348188062711399
"166" "VITEQU" 0 44 0.105080729166667 243.332908082571 0.248833985049863
"93" "WENDFO" 48 0 0.0959848484848485 227.724553052705 0.301986155623872
